,Sales,Quantity,Discount,Profit,Days Since First Order,lag_sales_1,lag_profit_1,rolling_sales_mean_3,rolling_profit_mean_3,cohort,churn,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Sub-Category_Chairs,Sub-Category_Furnishings,Sub-Category_Tables
20,19,5,0,-14,0,97,1,316,-42,0,0,0,1,0,0,0,0,0,0,0,1,0
39,396,7,0,-11,360,19,-14,171,-8,12,0,0,1,0,0,0,1,0,0,1,0,0
51,258,3,0,0,0,620,-248,370,-116,0,1,0,0,1,0,1,0,1,0,0,1,0
54,177,5,0,-120,680,11,-4,202,-160,23,1,0,1,0,0,0,0,0,0,0,0,1
55,4,3,0,-2,680,177,-120,64,-42,23,1,0,1,0,0,0,0,0,0,0,1,0
64,218,3,0,-24,194,230,20,249,24,6,0,0,0,0,1,0,0,0,1,0,1,0
70,15,1,0,1,381,466,52,165,19,13,0,0,1,0,1,0,0,0,1,0,1,0
86,113,2,0,-18,904,1336,31,818,-33,30,0,0,0,1,0,0,0,0,1,1,0,0
108,241,2,0,18,894,255,81,208,25,29,1,0,0,1,0,0,0,0,1,1,0,0
109,69,9,0,22,894,241,18,188,40,29,1,0,0,1,0,0,0,0,1,0,1,0
131,88,3,0,27,703,9,3,46,15,23,1,0,1,0,1,0,1,0,0,0,1,0
142,108,1,0,-71,565,23,-14,56,-24,19,1,0,0,1,0,1,0,0,0,0,0,1
176,301,2,0,90,933,396,-11,239,21,31,0,0,1,0,0,0,0,1,0,1,0,0
189,99,2,0,-18,0,218,-24,182,-7,0,0,0,0,1,1,0,0,0,0,0,0,1
190,797,4,0,-56,0,99,-18,372,-33,0,0,0,0,1,1,0,0,0,0,1,0,0
192,393,3,0,-204,393,1228,0,544,-66,13,1,0,0,0,0,0,0,0,1,0,0,1
195,2065,12,0,-619,0,1007,75,1196,-185,0,0,0,0,1,0,1,1,0,0,0,0,1
219,254,14,0,-18,655,212,-15,333,-26,22,0,0,0,1,0,1,0,0,0,1,0,0
242,172,2,0,51,736,301,90,290,43,25,0,0,0,1,0,0,1,0,0,1,0,0
244,15,4,0,2,0,88,27,37,10,0,1,1,0,0,1,0,0,1,0,0,1,0
245,55,1,0,-2,0,15,2,53,9,0,1,1,0,0,1,0,0,1,0,0,1,0
246,95,4,0,-4,543,102,-3,498,101,18,0,0,0,1,0,0,0,0,0,1,0,0
253,8,1,0,2,1120,95,-4,69,-1,37,0,0,0,1,0,0,0,0,1,0,1,0
256,165,3,0,41,57,63,0,92,18,1,1,1,0,0,0,0,0,1,0,0,1,0
260,254,3,0,11,0,3610,135,1543,80,0,1,0,1,0,0,0,0,0,1,0,0,0
274,155,2,0,-13,19,242,29,136,6,0,1,0,0,1,0,0,1,0,0,1,0,0
281,300,1,0,11,364,31,1,218,13,12,0,0,0,1,1,0,0,0,1,0,0,1
297,408,2,0,72,166,77,38,189,40,6,1,0,0,1,1,0,1,0,0,1,0,0
298,165,4,0,14,166,408,72,216,41,6,1,0,0,1,1,0,1,0,0,0,1,0
302,2453,5,0,-350,323,172,51,975,-69,11,0,1,0,0,0,0,0,0,0,1,0,0
327,603,5,0,-67,284,69,22,304,-8,9,1,0,0,0,0,0,0,0,1,1,0,0
328,381,2,0,23,284,603,-67,351,-7,9,1,0,0,0,0,0,0,0,1,1,0,0
331,47,3,0,18,414,382,-153,177,-40,14,1,0,0,0,0,0,1,0,0,0,1,0
332,6,2,0,2,414,47,18,145,-43,14,1,0,0,0,0,0,1,0,0,0,1,0
343,34,7,0,10,112,1067,224,380,82,4,1,0,0,0,0,0,0,0,0,0,1,0
361,206,2,0,-32,0,108,-71,113,-39,0,1,0,0,1,0,1,0,0,0,0,0,1
373,170,3,0,-8,0,17,1,109,-18,0,0,0,0,1,1,0,0,0,1,0,0,1
377,22,1,0,4,606,11,3,122,29,20,1,0,0,1,0,0,0,0,1,0,1,0
379,207,3,0,25,55,211,42,204,29,2,1,0,0,1,1,0,0,1,0,1,0,0
396,409,3,0,-122,0,124,15,1205,-590,0,1,0,0,0,0,0,1,0,0,0,0,1
403,15,5,0,7,1303,145,23,57,11,43,1,0,1,0,0,0,0,1,0,0,1,0
408,1282,5,0,213,0,254,-93,516,41,0,0,0,0,1,1,0,1,0,0,1,0,0
423,25,6,0,3,197,341,-73,218,-11,7,1,0,0,0,0,0,1,0,0,0,1,0
428,710,3,0,-97,182,8,2,271,-32,6,0,0,0,1,0,0,0,0,1,0,0,1
433,479,5,0,81,232,626,46,668,80,8,1,0,0,1,0,1,0,0,0,1,0,0
451,442,4,0,59,58,176,-22,210,13,2,1,0,0,1,0,0,1,0,0,1,0,0
452,63,8,0,28,58,442,59,227,21,2,1,0,0,1,0,0,1,0,0,0,1,0
456,20,1,0,1,391,515,113,194,44,12,1,0,0,1,0,0,1,0,0,0,1,0
464,109,2,0,33,872,124,52,362,99,29,1,0,0,1,1,0,1,0,0,0,1,0
469,122,3,0,13,0,143,3,584,-93,0,1,0,1,0,1,0,0,0,1,1,0,0
473,199,2,0,37,1057,614,-23,303,2,34,0,0,0,0,0,0,0,0,1,0,0,0
477,259,5,0,106,246,389,43,270,40,9,1,0,0,1,0,0,1,0,0,0,1,0
478,723,4,0,188,665,206,-32,346,27,22,1,0,1,0,0,1,0,1,0,1,0,0
479,141,2,0,-14,483,15,1,207,13,16,0,0,0,0,1,0,0,0,0,0,0,0
485,557,5,0,0,651,22,9,309,14,21,1,0,0,1,0,0,0,0,0,0,0,1
489,613,3,0,-122,0,1071,-553,1088,-374,0,1,0,0,1,1,0,1,0,0,0,0,1
492,532,6,0,-26,831,797,-56,476,-34,27,0,0,0,1,1,0,1,0,0,0,1,0
501,301,2,0,60,301,239,52,186,40,10,1,0,0,1,0,1,1,0,0,0,0,0
518,77,8,0,34,0,4,-2,86,-29,0,1,0,1,0,0,0,0,0,1,0,1,0
521,181,2,0,-54,381,15,7,114,-7,12,1,0,1,0,0,0,1,0,0,1,0,0
526,102,1,0,-6,872,2453,-350,909,-101,29,0,0,0,1,0,0,0,0,1,0,0,0
532,62,3,0,30,0,470,-87,229,-30,0,1,0,0,1,0,1,0,1,0,0,1,0
533,12,3,0,4,0,62,30,181,-17,0,1,0,0,1,0,1,0,1,0,0,1,0
545,220,1,0,24,398,42,4,101,15,13,1,0,0,1,0,0,0,0,1,1,0,0
552,1292,3,0,77,1065,545,70,621,53,35,1,0,1,0,1,0,0,0,1,0,0,0
560,122,3,0,15,0,30,8,226,18,0,1,0,0,1,0,1,0,1,0,0,1,0
566,299,3,0,56,476,77,34,127,29,16,1,0,0,1,0,0,1,0,0,0,0,0
573,19,3,0,5,885,4,1,33,11,29,0,0,0,0,0,0,0,1,0,0,1,0
585,214,3,0,36,598,185,76,201,43,20,0,0,1,0,0,1,0,0,0,0,0,1
586,653,3,0,111,598,214,36,351,74,20,0,0,1,0,0,1,0,0,0,0,0,1
595,20,4,0,6,0,14,6,102,-30,0,0,0,1,0,0,0,1,0,0,0,1,0
615,90,1,0,14,860,547,-68,218,-15,28,1,0,0,1,1,0,0,0,0,1,0,0
616,1526,7,0,427,860,90,14,721,124,28,1,0,0,1,1,0,0,0,0,1,0,0
617,368,3,0,40,860,1526,427,662,160,28,1,0,0,1,1,0,0,0,0,1,0,0
618,18,1,0,7,1070,7,0,263,-4,35,0,0,0,1,0,0,0,0,1,0,1,0
620,26,3,0,11,1357,653,111,297,52,45,0,0,0,1,0,1,0,0,1,0,1,0
626,18,2,0,7,1350,97,6,65,7,44,0,0,1,0,1,0,0,0,1,0,1,0
638,344,2,0,-103,0,238,26,221,-28,0,0,0,0,1,0,1,1,0,0,0,0,1
639,22,3,0,-10,0,43,11,24,0,0,1,0,0,1,0,1,0,0,0,0,1,0
640,66,3,0,22,634,381,23,350,-7,21,1,0,0,1,0,0,0,0,1,0,1,0
642,254,3,0,0,517,723,188,395,51,17,1,0,0,1,0,1,1,0,0,0,1,0
651,41,2,0,2,777,544,40,224,-1,26,0,0,0,1,0,1,0,0,1,0,1,0
660,220,4,0,-42,97,207,2,156,-9,3,0,0,0,1,1,0,0,0,0,0,0,0
669,22,3,0,-17,787,344,-103,201,-31,26,0,0,0,1,0,1,0,0,0,0,1,0
672,262,7,0,69,672,747,-96,625,66,22,0,0,0,0,0,0,1,0,0,0,1,0
673,284,2,0,-75,39,700,78,777,-72,1,1,0,0,1,1,0,1,0,0,0,0,1
674,67,5,0,32,0,47,20,200,46,0,1,0,0,0,0,0,0,0,0,0,1,0
676,528,5,0,0,560,933,105,535,35,18,1,0,0,1,0,0,0,0,0,1,0,0
683,114,5,0,39,1080,39,12,63,22,36,1,0,1,0,0,0,1,0,0,0,1,0
690,79,3,0,-29,747,478,47,477,81,25,0,0,1,0,1,0,0,1,0,0,0,1
693,3,2,0,1,0,25,3,123,-22,0,1,0,0,1,0,0,0,0,1,0,1,0
694,60,3,0,5,163,585,73,218,24,5,0,0,0,1,0,0,1,0,0,0,1,0
701,2,1,0,-1,1079,63,23,90,-12,36,0,0,0,1,0,1,0,0,0,0,1,0
705,435,3,0,20,0,46,19,222,16,0,0,0,0,1,1,0,0,0,1,0,0,0
712,364,5,0,8,54,28,11,450,-121,2,0,0,0,1,0,0,1,0,0,1,0,0
713,361,2,0,68,54,364,8,251,29,2,0,0,0,1,0,0,1,0,0,1,0,0
714,24,9,0,7,672,1013,76,397,25,22,0,0,0,0,0,0,1,0,0,0,1,0
717,22,7,0,-8,370,109,33,85,25,13,1,0,0,0,1,0,0,0,0,0,1,0
721,22,4,0,7,0,281,-12,195,-5,0,1,0,0,1,0,1,1,0,0,0,1,0
725,128,2,0,15,1231,23,-14,178,21,41,0,0,0,0,0,0,0,0,1,0,1,0
728,251,2,0,-68,1158,16,-8,147,-62,38,0,1,0,0,0,0,0,0,0,0,0,1
733,180,1,0,47,136,307,-34,279,-42,5,0,0,0,1,0,0,0,0,0,1,0,0
734,1421,6,0,-195,451,170,-8,536,-67,15,0,0,0,1,1,0,0,0,1,0,0,1
745,5,3,0,1,981,181,-54,67,-15,32,1,0,0,0,0,0,1,0,0,0,1,0
746,99,2,0,-7,981,5,1,95,-20,32,1,0,0,0,0,0,1,0,0,1,0,0
748,844,6,0,-36,813,19,8,438,13,26,0,0,1,0,0,1,0,0,0,1,0,0
753,17,3,0,5,0,286,83,292,84,0,1,0,1,0,0,0,1,0,0,0,1,0
756,91,4,0,31,760,25,8,81,30,25,1,0,0,1,0,1,1,0,0,0,1,0
760,148,7,0,29,794,301,60,230,47,26,1,0,0,1,0,1,1,0,0,0,1,0
762,6,3,0,1,0,30,3,126,-140,0,0,0,0,1,1,0,0,1,0,0,1,0
765,181,2,0,20,0,19,5,68,9,0,0,0,0,1,0,0,1,0,0,0,1,0
768,37,1,0,6,113,1282,213,524,42,3,0,0,0,1,1,0,1,0,0,0,1,0
772,162,3,0,34,614,304,76,158,37,20,0,0,0,0,0,0,0,0,1,0,1,0
773,603,5,0,45,0,199,37,472,20,0,0,0,1,0,0,0,0,0,1,1,0,0
778,230,3,0,23,638,198,99,146,37,21,1,0,1,0,1,0,0,0,1,1,0,0
780,24,2,0,10,7,207,25,147,26,0,1,0,0,1,1,0,0,0,1,0,1,0
781,241,2,0,24,481,595,297,419,101,16,1,0,1,0,1,0,0,0,0,0,0,0
787,523,3,0,-192,1238,532,-26,618,-91,41,0,0,0,0,1,0,0,1,0,0,0,1
791,801,2,0,200,451,141,41,315,80,15,1,0,0,1,0,0,0,1,0,0,0,1
792,1056,7,0,306,451,801,200,666,182,15,1,0,0,1,0,0,0,1,0,1,0,0
795,26,1,0,7,824,1458,423,540,157,27,1,0,0,1,1,0,0,0,0,1,0,0
796,476,2,0,119,824,26,7,654,183,27,1,0,0,1,1,0,0,0,0,1,0,0
800,134,9,0,36,99,674,-109,296,-17,3,1,0,0,1,0,0,0,0,1,0,1,0
805,480,3,0,-269,502,64,6,209,-117,16,1,0,0,1,0,1,0,0,0,0,0,1
806,151,5,0,-182,8,17,1,70,-53,0,0,0,0,1,0,0,0,0,0,0,1,0
809,842,3,0,42,0,191,16,425,28,0,1,0,1,0,0,0,0,0,1,1,0,0
815,352,5,0,-211,0,7,2,302,-92,0,1,0,0,1,0,1,1,0,0,0,0,0
818,161,2,0,10,50,801,-448,363,-156,2,0,0,0,1,0,0,0,0,1,1,0,0
819,311,3,0,-42,50,161,10,425,-160,2,0,0,0,1,0,0,0,0,1,1,0,0
820,35,2,0,13,0,114,39,63,21,0,1,0,0,1,0,0,0,0,1,0,1,0
825,255,6,0,-18,327,254,-18,240,-17,11,0,0,0,1,0,1,0,0,0,1,0,0
835,257,3,0,24,275,195,-13,153,4,9,1,0,0,1,0,0,0,0,1,0,0,0
841,373,6,0,82,0,860,189,582,122,0,0,0,0,1,0,0,0,0,0,0,1,0
842,231,5,0,5,90,1652,231,647,83,3,0,0,1,0,1,0,0,1,0,0,0,0
845,474,11,0,199,943,20,1,336,104,31,1,0,0,1,0,0,0,0,1,0,1,0
850,24,5,0,8,229,109,37,148,22,7,1,0,0,1,1,0,0,0,1,0,1,0
851,70,6,0,23,229,24,8,68,23,7,1,0,0,1,1,0,0,0,1,0,1,0
855,409,2,0,-81,0,58,18,162,-19,0,0,0,0,1,1,0,1,0,0,0,0,1
856,67,1,0,-20,0,409,-81,178,-27,0,0,0,0,1,1,0,1,0,0,0,0,1
857,572,3,0,35,0,151,-182,247,-48,0,0,0,0,1,0,0,0,0,1,1,0,0
859,220,4,0,55,983,373,82,484,108,32,0,0,0,1,0,0,0,1,0,0,1,0
860,339,4,0,0,983,220,55,310,45,32,0,0,0,1,0,0,0,1,0,0,1,0
863,27,3,0,-14,364,141,39,228,60,12,1,1,0,0,0,0,1,0,0,0,0,1
866,79,5,0,13,154,22,9,97,9,6,0,0,0,0,0,0,1,0,0,0,1,0
868,322,3,0,64,0,156,-52,160,2,0,1,0,0,1,0,0,1,0,0,0,1,0
869,433,2,0,-65,0,139,-150,192,-71,0,1,0,0,0,0,0,0,0,1,1,0,0
871,696,2,0,160,22,16,-12,249,52,1,1,0,0,1,1,0,0,0,1,0,0,1
872,24,5,0,10,469,3,1,17,4,16,1,0,0,1,0,0,0,0,1,0,1,0
874,17,3,0,7,0,14,4,127,32,0,1,0,1,0,0,0,1,0,0,0,1,0
875,1604,5,0,481,0,17,7,545,164,0,1,0,1,0,0,0,1,0,0,1,0,0
876,385,1,0,-60,0,1604,481,669,142,0,1,0,1,0,0,0,1,0,0,0,0,1
878,174,3,0,41,1237,821,213,351,93,41,1,0,1,0,0,0,0,0,1,0,0,0
881,332,9,0,-348,352,854,10,576,-99,12,1,0,0,1,1,0,0,0,0,0,1,0
882,1049,5,0,272,803,22,-17,472,50,26,0,0,0,1,0,1,1,0,0,0,1,0
883,20,5,0,7,803,1049,272,364,87,26,0,0,0,1,0,1,1,0,0,0,1,0
886,10,3,0,-6,1154,1212,90,692,-47,38,0,0,0,0,0,0,0,0,0,0,1,0
888,863,8,0,-160,18,180,47,450,-49,1,0,0,0,1,0,0,0,0,0,0,0,1
889,956,7,0,-225,18,863,-160,666,-112,1,0,0,0,1,0,0,0,0,0,0,0,0
890,871,4,0,148,968,385,-60,953,189,32,1,0,1,0,0,0,0,0,1,0,0,1
892,207,4,0,85,940,22,-8,113,36,31,1,0,1,0,1,0,1,0,0,0,1,0
897,177,5,0,-120,1160,7,-2,167,-66,38,0,0,0,1,1,0,0,0,1,0,0,1
905,60,3,0,26,0,631,140,334,39,0,1,0,0,1,0,0,1,0,0,0,1,0
908,303,5,0,63,0,191,74,177,50,0,1,0,0,1,0,1,0,0,1,0,1,0
909,1487,5,0,148,0,303,63,660,95,0,1,0,0,1,0,1,0,0,1,1,0,0
